Feature,Factor1,Factor2,Factor3
fav given,-0.144019951,0.160977926,0.092939521
followers,0.182486891,0.112662624,0.162658222
friends,0.261313802,-0.215797164,0.069278512
statuses,0.129030684,0.292949769,0.131923026
tokens,0.302862519,0.199891609,0.122769357
urls,0.022441151,0.007194323,-0.043542101
hashtags,0.24900855,-0.147076286,0.153131341
mentions,0.497477242,0.174507518,0.114820079
media,0.02768791,-0.008844682,0.032191888
trend distance,0.439220215,0.392970383,0.144091738
high retweet,0.517929365,0.266140204,-0.174509805
